 XAxis = ,-154.00, YAxis = ,-290.00, Heading = ,4.22, Degress = ,242.03
 XAxis = ,-125.00, YAxis = ,-287.00, Heading = ,4.30, Degress = ,246.46
 XAxis = ,-125.00, YAxis = ,-274.00, Heading = ,4.28, Degress = ,245.48
 XAxis = ,-163.00, YAxis = ,-308.00, Heading = ,4.23, Degress = ,242.11
 XAxis = ,-163.00, YAxis = ,-339.00, Heading = ,4.26, Degress = ,244.32
 XAxis = ,-148.00, YAxis = ,-348.00, Heading = ,4.31, Degress = ,246.96
 XAxis = ,-134.00, YAxis = ,-290.00, Heading = ,4.28, Degress = ,245.20
 XAxis = ,-210.00, YAxis = ,-295.00, Heading = ,4.09, Degress = ,234.55
 XAxis = ,-127.00, YAxis = ,-301.00, Heading = ,4.31, Degress = ,247.12
 XAxis = ,-160.00, YAxis = ,-298.00, Heading = ,4.22, Degress = ,241.77
 XAxis = ,-153.00, YAxis = ,-295.00, Heading = ,4.23, Degress = ,242.59
 XAxis = ,-146.00, YAxis = ,-295.00, Heading = ,4.25, Degress = ,243.67
 XAxis = ,-165.00, YAxis = ,-312.00, Heading = ,4.23, Degress = ,242.13
 XAxis = ,-160.00, YAxis = ,-310.00, Heading = ,4.24, Degress = ,242.70
 XAxis = ,-153.00, YAxis = ,-337.00, Heading = ,4.29, Degress = ,245.58
 XAxis = ,-122.00, YAxis = ,-305.00, Heading = ,4.33, Degress = ,248.20
 XAxis = ,-138.00, YAxis = ,-308.00, Heading = ,4.29, Degress = ,245.87
